%time,field.header.seq,field.header.stamp,field.header.frame_id,field.spi1_miss,field.spi2_miss,field.uart_miss,field.objects0.slot,field.objects0.code,field.objects0.adc1,field.objects0.adc2,field.objects0.adc3,field.objects0.adc4,field.objects0.adc5,field.objects0.adc6,field.objects0.adc7,field.objects0.adc8,field.objects0.adc9,field.objects0.adc10,field.objects0.adc11,field.objects0.adc12,field.objects0.adc13,field.objects0.adc14,field.objects0.adc15,field.objects0.adc16
1448859423017568017,9892,1448859423017177989,,0,0,0,17,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859423032572798,9893,1448859423032189563,,0,0,0,15,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
1448859423047561600,9894,1448859423047167714,,0,0,0,14,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423062547037,9895,1448859423062194150,,0,0,0,10,1048575,0,0,0,0,0,0,0,0,597,577,582,0,0,0,0,0
1448859423077537491,9896,1448859423077146906,,0,0,0,12,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423092537338,9897,1448859423092145527,,0,0,0,10,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423107515062,9898,1448859423107128656,,0,0,0,9,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423122506736,9899,1448859423122088955,,0,0,0,8,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
1448859423137449562,9900,1448859423137060413,,0,0,0,7,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859423152445023,9901,1448859423152044612,,0,0,0,5,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859423167431684,9902,1448859423167032115,,0,0,0,4,1048575,0,0,0,0,0,0,0,0,592,574,578,0,0,0,0,0
1448859423182447960,9903,1448859423182024446,,0,0,0,3,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423197423972,9904,1448859423197027483,,0,0,0,2,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859423212394569,9905,1448859423212006579,,0,0,0,0,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423227398552,9906,1448859423227010753,,0,0,0,49,1048575,0,0,0,0,0,0,0,0,593,574,578,0,0,0,0,0
1448859423242412300,9907,1448859423242007665,,0,0,0,48,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
1448859423257315985,9908,1448859423256934647,,0,0,0,47,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423272387981,9909,1448859423271987817,,0,0,0,45,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859423287367097,9910,1448859423286968751,,0,0,0,44,1048575,0,0,0,0,0,0,0,0,591,574,577,0,0,0,0,0
1448859423303325250,9911,1448859423302934077,,0,0,0,43,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859423318336629,9912,1448859423317932647,,0,0,0,42,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423333307577,9913,1448859423332911305,,0,0,0,40,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423348281107,9914,1448859423347913721,,0,0,0,39,1048575,0,0,0,0,0,0,0,0,592,574,578,0,0,0,0,0
1448859423363311132,9915,1448859423362919835,,0,0,0,38,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423378323470,9916,1448859423377918375,,0,0,0,37,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859423393307801,9917,1448859423392920183,,0,0,0,36,1048575,0,0,0,0,0,0,0,0,601,580,583,0,0,0,0,0
1448859423408226620,9918,1448859423407830743,,0,0,0,34,1048575,0,0,0,0,0,0,0,0,592,574,578,0,0,0,0,0
1448859423423250237,9919,1448859423422857159,,0,0,0,33,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
1448859423438246791,9920,1448859423437832829,,0,0,0,32,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
1448859423453193389,9921,1448859423452802831,,0,0,0,31,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423468186507,9922,1448859423467783450,,0,0,0,29,1048575,0,0,0,0,0,0,0,0,594,575,578,0,0,0,0,0
1448859423483090883,9923,1448859423482735441,,0,0,0,28,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859423498204275,9924,1448859423497804472,,0,0,0,27,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859423513166449,9925,1448859423512786421,,0,0,0,26,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423528173408,9926,1448859423527774343,,0,0,0,24,1048575,0,0,0,0,0,0,0,0,598,577,581,0,0,0,0,0
1448859423543149621,9927,1448859423542759162,,0,0,0,23,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423558101826,9928,1448859423557713262,,0,0,0,22,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423573088900,9929,1448859423572696083,,0,0,0,21,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423588096624,9930,1448859423587694135,,0,0,0,19,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859423603094791,9931,1448859423602700537,,0,0,0,18,1048575,0,0,0,0,0,0,0,0,594,576,579,0,0,0,0,0
1448859423618072599,9932,1448859423617679982,,0,0,0,17,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423633077862,9933,1448859423632681256,,0,0,0,16,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859423648069410,9934,1448859423647676529,,0,0,0,14,1048575,0,0,0,0,0,0,0,0,600,579,584,0,0,0,0,0
1448859423663055456,9935,1448859423662663768,,0,0,0,10,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423678059878,9936,1448859423677664348,,0,0,0,12,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
