%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.name,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses0.pose_updated,field.poses1.name,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses1.pose_updated,field.poses2.name,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w,field.poses2.pose_updated
1448859421639476206,25243,1448859421639083506,,sensor,-0.87973348999,0.0122265444994,0.212406803131,-0.000756469525483,-0.00706329880444,0.00683289825762,0.999951423353,1,emitter,0.859496193804,0.164620184772,0.191286580489,0.0092184487687,-0.0404655629655,0.421482910694,0.905886148701,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421649543364,25244,1448859421649157987,,sensor,-0.87969329834,0.0121257259846,0.212335205078,-6.10095467131e-06,-0.00693666827388,0.00704839717813,0.999951100151,1,emitter,0.859706823309,0.16464129643,0.191502726744,0.00161082476194,-0.041209626104,0.422265814833,0.90553340832,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421659658730,25245,1448859421659258790,,sensor,-0.879717666626,0.0121668429375,0.212368530273,-1.39714681354e-07,-0.00680649011442,0.00704860051228,0.999951993309,1,emitter,0.859721483412,0.1649252341,0.191515306122,-0.00114935152628,-0.0391291812242,0.423638104808,0.904985271881,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421669444709,25246,1448859421669038237,,sensor,-0.879913085937,0.0121494811177,0.212577747345,-0.000516974646591,-0.00880679813715,0.00656966484207,0.999939504444,1,emitter,0.859583396312,0.164792143456,0.191701868064,0.00647587887951,-0.0428838265591,0.422433090194,0.905355910525,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421679506291,25247,1448859421679136572,,sensor,-0.879597564697,0.0119317559004,0.212344749451,-0.0024190844731,-0.00900529146577,0.00451254739697,0.999946343396,1,emitter,0.859866495824,0.164762945579,0.191834860982,0.00553284352847,-0.0411950700058,0.424327801114,0.904554183591,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421689551306,25248,1448859421689150507,,sensor,-0.879796417236,0.012091542244,0.212478401184,0.000541333620569,-0.0086027884618,0.00700302661106,0.999938326402,1,emitter,0.859639928396,0.164660498654,0.191441775829,0.0128839249222,-0.0401063024955,0.424143484803,0.904614720905,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421699543077,25249,1448859421699145889,,sensor,-0.87987991333,0.0121167539358,0.212604000092,-0.000395860628752,-0.0087977926713,0.00657320610374,0.999939615727,1,emitter,0.860093083281,0.164523848711,0.191596324539,0.00407141021188,-0.0419688132034,0.425552007929,0.903951066643,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421709364979,25250,1448859421708966776,,sensor,-0.879758926392,0.0121877883673,0.212422660828,-0.000657719812067,-0.00689694747681,0.00680135271784,0.99995286945,1,emitter,0.860026256435,0.165004661241,0.191713813654,0.0024069662993,-0.0389949260819,0.421745087761,0.905872332729,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421719405917,25251,1448859421718984215,,sensor,-0.879734085083,0.0121702569723,0.212350723267,-0.000224511415714,-0.00663471333312,0.0066621413013,0.999955772045,1,emitter,0.859743305597,0.164603650778,0.191436953653,0.0133826809421,-0.0418039035805,0.425591393528,0.903850265946,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421729055089,25252,1448859421728658480,,sensor,-0.879710769653,0.0122473204136,0.212366268158,-0.000934447991658,-0.00771701549651,0.00677419795052,0.999946840948,1,emitter,0.859488736579,0.164123609466,0.191149046711,0.0114989779457,-0.0435544412605,0.427383517686,0.902947458584,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421738585480,25253,1448859421738134063,,sensor,-0.879720230103,0.0121722626686,0.21239806366,-0.000674729724142,-0.0073979323315,0.00681433136445,0.999949188822,1,emitter,0.859637959751,0.164594944943,0.191322664835,0.0120673657228,-0.0408931511016,0.425099930502,0.90414168025,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421748626540,25254,1448859421748229039,,sensor,-0.879686157227,0.0121775248051,0.212422473907,-0.000663905447459,-0.00784822827528,0.00677204739078,0.999946050503,1,emitter,0.859855453899,0.164703767136,0.191486586339,0.0117436199435,-0.0395562255917,0.424004456958,0.904719632199,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421759411211,25255,1448859421759082262,,sensor,-0.879745391846,0.0121991205215,0.212424301147,-0.00100819943677,-0.00758578532357,0.00642966396554,0.999950048161,1,emitter,0.859970471428,0.164693453564,0.191602079275,0.00320670520783,-0.0420365021786,0.426424118738,0.903540325876,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421768582449,25256,1448859421768216630,,sensor,-0.879796676636,0.01210083884,0.212511371613,-0.000112253938746,-0.00855210800057,0.00669245789404,0.999941028189,1,emitter,0.859825572617,0.164204671485,0.191629747194,0.00831669495799,-0.0451865803754,0.427711043818,0.902747067863,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421779123865,25257,1448859421778719008,,sensor,-0.879729598999,0.0122166563272,0.212358974457,-0.000958579073521,-0.00677622867509,0.00646964748523,0.999955652773,1,emitter,0.860115329473,0.164510236792,0.191458512856,0.00110008119038,-0.0408544799686,0.425885743066,0.903853436759,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421789466570,25258,1448859421789104963,,sensor,-0.87977671814,0.0120650420189,0.212489021301,-0.000284284618446,-0.00881446263818,0.00659610508313,0.999939356075,1,emitter,0.85950542696,0.164255234489,0.191073445666,-0.00403216775987,-0.0410896874389,0.42829751728,0.902694087663,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421802062085,25259,1448859421801697211,,sensor,-0.879809448242,0.0121207326055,0.212461811066,-0.000283811116405,-0.0089969600056,0.00677400646344,0.999936541486,1,emitter,0.860031989385,0.164680857904,0.191758712072,0.00737545341698,-0.0434319456366,0.426055260528,0.903623917214,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
